,id,text,author_title,stemmed_text
800,800,ucz janek ucz ucz wiedza szczęścia klucz czytanka stron obrazki kłos zboża snop koń koniu chłop czapka dłoń chłopem głowę skłoń pałac próg zobacz bieda głód gazeta drań ucz janek prostych zdań czegoś rozumiesz zapas głowę wbij staraj pionkiem tłumie szarym bloku szaro żyj domu telewizor późna głośno gra sąsiedzi słyszą widzą robisz m północy ziąb lód słońce wschodzi wschód zachodzie sypia noc czarownice gotują zło rakieta dom atomowy schron gimnastykuj dnia śliczny szkielet będziesz miał laser przetnie wpół naukowców wielki triumf cuchnie rzeka znika las betonową zdrową dziuplę masz smutno napij rozum won sercu lżej raźniej idą biodra ruch zdrowym ciele zdrowy duch ucz janek ucz ucz wiedza mądrości stróż przepis pełen bzdur głowa mur złotówka yen ej mówią janek żeś leń człowiek gad wszechświat świat smutno napij rozum won sercu lżej raźniej idą biodra ruch zdrowym ciele zdrowy duch ucz janek życia ucz wiedza szczęścia klucz ucz janek życia ucz wiedza szczęścia klucz,perfect-czytanka_dla_janka,uczyć Janek:s2 uczyć uczyć wiedza szczęście klucz czytanka strona obrazek kłos:s1 zboże snop koń:s koń:s chłop czapka dłoń chłop głowa skłonić pałac próg zobaczyć bieda głód gazeta drań uczyć Janek:s2 prosty:a zdanie co:s rozumieć zapas głowa wbić starać pionek:s1 tłum szary blok szaro żyć dom telewizor późny głośno gra sąsiad słyszeć widzieć robić metr północ ziąb lód:s1 słońce wschodzić wschód zachód sypiać noc czarownica gotować zło rakieta dom atomowy schron gimnastykować dzień:s1 śliczny szkielet być mieć laser przeciąć wpół naukowiec wielki:a triumf cuchnąć rzeka znikać las betonowy zdrowy dziupla mieć smutno napić rozum won:s serce lekce raźnie iść biodro ruch zdrowy ciało zdrowy duch uczyć Janek:s2 uczyć uczyć wiedza mądrość stróż przepis pełny bzdura głowa mur złotówka yen ej mówić Janek:s2 że:c leń człowiek gad:s1 wszechświat świat smutno napić rozum won:s serce lekce raźnie iść biodro ruch zdrowy ciało zdrowy duch uczyć Janek:s2 życie uczyć wiedza szczęście klucz uczyć Janek:s2 życie uczyć wiedza szczęście klucz
801,801,szybą lazurowe niebo budzika rano wstaję dzień zwyczajny radio zmienia święto weekendy gotowy plan znam fajnych miejsc uda wejść selekcja oko mamy lato wisły hel żółte cabrio wypada mieć gołe plecy dni polskie lato mp choć wystarcza kasy sponsor chojny trafi mamy całkiem czasy klimat ostro zmienny jedyny problem utrzymał wyż lodówkach freon mamy lato wisły hel własny basen wypada mieć nagie uda dni polska muza mp jedyny problem utrzymał wyż lodówkach freon mamy lato wisły hel śmiały dekolt wypada mieć szaszłyk grila dni polskie lato mp,perfect-polskie_lato_z_mp3,szyba lazurowy niebo budzik rano:d wstawać dzień:s1 zwyczajny radio zmieniać święto:s weekend gotowy plan znać:v fajny miejsce udać wejście selekcja oko:s1 mama lato Wisła:s1 hel żółty cabrio wypadać:v1 mieć goły plecy dzień:s1 polski:a lato MP:s1 choć:c wystarczać kasa sponsor Chojny trafić mama całkiem czas:s klimat ostro zmienny jedyny:a problem utrzymać wyż:d lodówka freon mama lato Wisła:s1 hel własny basen wypadać:v1 mieć nagi:a udać dzień:s1 polski:a muza MP:s1 jedyny:a problem utrzymać wyż:d lodówka freon mama lato Wisła:s1 hel śmiały dekolt wypadać:v1 mieć szaszłyk grila dzień:s1 polski:a lato MP:s1
802,802,pająk rozpiął sieć desce król zasiada lustra vis vis oczy patrzy twarz mordę dać krążę kąta kąt klasnę dłonią dłoń wbijam zęby tynk pomaga żalu chce wyć odkąd brak przykazał bóg wstałem ósma punkt odkurzyłem chleb wkładam ust czuję idzie blues jakbym dostał łeb łapię dych rzucam drzwi serce mrozi strach ścięło zamknęli sklep odkąd brak nierdzewną stal spada gorzka łza żre otwieracz rdza nudów idę stoję osiem dni dmuchany ryż kryzys mogę znieść muszę jeść przestaną truć odkąd brak tracę dobry smak błagam pepe wróć,perfect-pepe_wroc,pająk:s1 rozpiąć sieć deska król:s1 zasiadać lustro vis vis oczyć patrzyć twarz morda dać krążyć kąt kąt klasnąć dłoń dłoń wbijać ząb tynk pomagać żal:s chcieć wycie odkąd brak:v przykazać bóg wstać ósmy:a punkt odkurzyć chleb wkładać usta czuć:v id blues jakby:c dostać:v1 łeb:s1 łapię dych rzucać drzwi serce mrozić strach:v ściąć zamknąć sklep odkąd brak:v nierdzewny stal spadać gorzki łza żreć otwieracz rdza nuda:s1 iść stać:v3 osiem dzień:s1 dmuchać ryż kryzys móc znieść musza jeść przestać:v1 truć odkąd brak:v tracić dobry:a smak błagać pepe wrócić:v1
803,803,pracuję jedenasty rok szewca skończyłem wielkim trudem siedem klas złotych kuchni mieszkam niedzielę lubię popić karty grać mogę zasnąć parapecie ostrzę wielki nóż księżyca sierp pokrajałbym ciasto strach pomyśleć bezbronny byłby mego szewca brzuch dzieje mej biednej głowie szum wiem mieszka mieście człowiek smoczy pysk jada codzień jajka cieście marząc żywym mięsie móc zatopić kły chciałbym dawniej głowy jawnie ścinał kat bym robił najsprawniej tłum klaskał szybko grzechów bym oczyścił świat dzieje mej biednej głowie szum chciałbym wielki tłusty księżyc gwiazda nieba spadł wybił wielką dziurę ziemi mógł schować świat modlę latający talerz wylądował zielone zabrały najdalej zanim skończę kuchni ostrzyć stalowy długi nóż dzieje mej biednej głowie szum,perfect-cos_dzieje_sie_w_mej_biednej_glowie,pracować jedenasty:a rok:s1 szewc skończyć wielki:a trud siedem klasa złoty:a kuchnia:s mieszkać niedziela lubić popicie karty grać móc zasnąć parapet ostrzyć wielki:a nóż księżyc sierp pokrajać ciasto strach:v pomyśleć bezbronny być mój:a szewc brzuch dziać mój:a biedny:a głowa szum wiedzieć mieszkać miesić człowiek smoczy pysk jadać codzień jajko ciasto marzyć żywy mięso móc zatopić kieł chcieć dawno głowa jawnie ścinać kat by:q robić sprawnie tłum klaskać szybko grzech by:q oczyścić świat dziać mój:a biedny:a głowa szum chcieć wielki:a tłusty:a księżyc gwiazda niebo spaść:v1 wybić wielki:a dziura ziemia móc schować świat modlić latać talerz wylądować zielony:a zabrać daleko zanim skończyć kuchnia:s ostrzyć stalowy długi nóż dziać mój:a biedny:a głowa szum
804,804,płacz ewka miejsca brak twe babskie łzy ulicy miłość hula wiatr wśród rozbitych szyb patrz poeci śliczni prawdy sens roztrwonili grach półlitrówkach pustych sos wysyłają świat żegnam wiem załatwię pilnych spraw idę czekają przyjaciół kilku śpiewam gram raz żegnam spotkamy proza życia przyjaźni kat pęka cienka nić telewizor meble mały fiat marzeń szczyt hej prorocy gniewnych obrastacie tłuszcz szpony dopadł szmal zdrada płynie ust żegnam wiem załatwię pilnych spraw idę czekają przyjaciół kilku śpiewam gram raz żegnam spotkamy x,perfect-nie_placz_ewka,płacz Ewka miejsce brak:v twój:a babski łza ulica miłość hulać wiatr wśród rozbić szyb patrzeć poeci śliczny prawda:s sens roztrwonić gra półlitrówka pusty sos wysyłać świat żegnać:v1 wiedzieć załatwić pilny sprawa iść czekać przyjaciel kilka:n śpiewać grać raz:s1 żegnać:v1 spotkać proza życie przyjaźny kat pękać cienki nić telewizor mebel mały:a fiat marzenia szczyt hej prorok gniewny obrastać tłuszcz szpon dopaść:v1 szmal zdrada płynąć usta żegnać:v1 wiedzieć załatwić pilny sprawa iść czekać przyjaciel kilka:n śpiewać grać raz:s1 żegnać:v1 spotkać X
805,805,zastanawiam wczoraj myślenia boli mózg rację różnych sporach tyle sądów piór ust oczy strzela telewizja niezbyt fabularny film nikt błędów przyzna prawdy spieszy nikt myśli chroni własny dom wolno czego żyć sku ć chłodem szyby gaszą ból patrzę kamienny mur kiedyś runę okna dół prawda względne racje wyższe moralnych praw dawna pewne bogatych zbudowano świat biednych lepszy świat zarobić da pół luksus mego rozrzutność własnych zdań miłość kilku pań zwierzam cisza gra zupełnie prawda człowiek numer zrobi chciał sprawiedliwość czeka niebie życie życie życie zwierzam cisza gra zupełnie prawda,perfect-wieczorny_przeglad_moich_mysli,zastanawiać wczoraj:d myślenie boleć:v2 mózg racja różny spora tyli sąd pióro usta oczyć strzelać telewizja niezbyt fabularny film nikt błąd przyznać prawda:s spieszyć:v1 nikt myślić chronić własny dom wolno:v czego życie sku ć chłód szyb gasić ból patrzeć kamienny mur kiedy:c runąć okno dół:s1 prawda:s względny racja wysoki moralny prawo:s dawny pewny:a1 bogaty:a zbudować świat biedny:a dobry:a świat zarobić dać póła luksus mój:a rozrzutność własny zdanie miłość kilka:n pani zwierzać cisza gra zupełnie prawda:s człowiek numer zrobić chcieć sprawiedliwość czekać niebo życie życie życie zwierzać cisza gra zupełnie prawda:s
806,806,spadku dziewczynie wyspa została dziesięć kroków długa piasku przywoziłem ziemię podkradaną pola chciałem ożywić wreszcie siałem trawę wczesną wiosną odtąd mej wyspie mogłem chodzić boso posadziłem kwiaty wyspie ozdoby przywoziłem domu wiadra słodkiej wody wielki grad wybił mógł ziemię zmył nagły skok wód wyspa nagiego piasku posadziłem drzewo balkonie wielkie silne drzewo dbałem pomyślałem pamięć ludzi mieszkać drzewie miało stać tysiąc sto posąg miało trwać kiedyś wiatr złością wyrwał zbudowałem wysokiej skale niebosiężny zamek słońcu lśnił wspaniale zamek włożyłem oszczędności czuć bezpiecznym późnej starości czujny wróg rył szczur wsypał proch kilku dziur przyszła noc podpalił lont czego tknę proch pył obraca wiem miejsce czego tknę proch śmierć obraca wiem miejsce,perfect-wyspa_drzewo_zamek,spadek dziewczyni wyspa zostać dziesięć krok długi piasek przywozić ziemia podkradać pole chcieć ożywić wreszcie siać trawa wczesny wiosna odtąd mój:a wyspa móc chodzić boso posadzić:v1 kwiat wyspa ozdoba przywozić dom wiadro słodki woda wielki:a grad:s1 wybić móc ziemia zmyć nagły skok wóda wyspa nagi:a piasek posadzić:v1 drzewo balkon wielki:a silny drzewo dbać pomyśleć pamięć człowiek mieszkać drzewi mieć stać:v tysiąc:s1 sto posąg mieć trwać kiedy:c wiatr złość wyrwać zbudować wysoki skala niebosiężny zamek:s1 słońce lśnić wspaniale zamek:s1 włożyć oszczędności czuć:v bezpieczny późny starość czujny wróg ryć szczur wsypać proch kilka:n dziura przyszły noc podpalić lont czego tknąć proch pył obracać wiedzieć miejsce czego tknąć proch śmierć obracać wiedzieć miejsce
807,807,pies taką smutną minę reumatyzm dręczy pchły coraz smutna dopiero układa nerwy psują klimat zmartwień idzie zima przeżyjemy zimę oszczędzając prądzie gazie przeżyjemy zobaczysz smutno razie karta zła odwróci zdejmie urok zły rzucił źle święta śledzia pogodnie przeszły święta będziemy głos czytać zebrane dzieła putramenta polska kuchnia przeje braknie grosza sprawy będziemy częściej robić chińskie potrawy przeżyjemy zimę oszczędzając prądzie gazie przeżyjemy zobaczysz smutno razie karta zła odwróci zdejmie urok zły rzucił źle zapadniemy sen zimowy przyśnią łany zbóż tyle szarych świtów cóż cóż cóż zamyślasz stała krzywda pytasz wiadomo kogo odebrał skrzydła przeżyjemy życie oszczędzając prądzie gazie przeżyjemy cóż zrobić smutno razie karta zła odwróci zdejmie urok zły rzucił źle,perfect-przezyjmy_jakos_te_zime,pies:s1 taki:a smutny minąć reumatyzm dręczyć pchła coraz smutny dopiero układać nerwy psuć klimat zmartwienie id zimać przeżyć zima oszczędzać prąd gaz przeżyć zobaczyć smutno raz:s1 karta zły:a odwrócić zdjąć urok zły:a rzucić źle święty:a śledź pogodnie przeszły święty:a być głos czytać zebrać dzieło putramenta polski:a kuchnia:s przejeść braknąć grosz sprawa być często robić chiński:a potraw przeżyć zima oszczędzać prąd gaz przeżyć zobaczyć smutno raz:s1 karta zły:a odwrócić zdjąć urok zły:a rzucić źle zapaść:v1 sen:s1 zimowy przyśnić:v1 łan zboże tyli szary świt cóż cóż cóż zamyślać stały krzywda pytać wiadomo koga odebrać skrzydło przeżyć życie oszczędzać prąd gaz przeżyć cóż zrobić smutno raz:s1 karta zły:a odwrócić zdjąć urok zły:a rzucić źle
808,808,codziennie niepokojem patrze okno pomiędzy żaluzjami wątła gałąź drży matki dziećmi przystankach deszczu mokną złocista szpila miastem lśni pałac pałac codziennie niepokojem jadę środek miasta omijam dala wielki cień wydaje ogromnie rozrasta każdą chwilą chce schwytać macki swe pałac pałac pałac pałac ciut ciut boję stoję cieniu przewróci bok rozsypie gruz zmieszany krwawym potem mego pokolenia trzydziestego piętra spadli dół pałac pałac pałac pałac,perfect-palac_nasz,codziennie niepokój pater okno pomiędzy żaluzja wątły gałąź drżeć matka dziecko przystanek deszcz moknąć złocisty szpila miasto:s lśnić pałac pałac codziennie niepokój jechać środek miasto:s omijać dala wielki:a cień wydawać ogromnie rozrastać:v1 każdy chwila chcieć schwytać macka swój pałac pałac pałac pałac ciut ciut bać stać:v3 cień przewrócić bok rozsypać gruz zmieszać krwawy potem mój:a pokolenie trzydziesty:a piętro spadły:a1 dół:s1 pałac pałac pałac pałac
809,809,droga krajobraz wiła ból nakazał nogę gazu zdjąć zachodzące słońce oślepiało chciałem zjeść hotelu przespać noc podniósł dłoń zabrałem twarz stare jabłko miał milczał choć pytań zadałem sto taką radę dał pytaj pytaj pytasz własny pomysł masz okrutne późno odpowiedzi znasz wiem opętało porażek wylać żal słuchał pychę zdradą splamił gniew głowę dam duchu śmiał pytaj pytaj pytań głowie masz okrutne późno odpowiedź znasz ciało zbudził przejmujący chłód szczerym polu rosą wstawał świt ciemno wytropić ślady stóp głos odpowiadał nikt nowy dzień szansę nową niósł promień światła błysnął szkle wiem nagle zawróciłem wóz radio śpiewał cudzy tekst pytaj pytaj pytasz własny pomysł masz okrutne późno odpowiedzi znasz pytaj pytaj pytań głowie masz okrutne późno odpowiedź znasz,perfect-nie_pytaj,drogi:a krajobraz wić:v ból nakazać noga gaz zdjąć zachodzić:v1 słońce oślepiać chcieć zjeść hotel przespać noc podnieść dłoń zabrać twarz stary:a jabłko mieć milczeć choć:c pytanie zadać sto taki:a rada dać pytać pytać pytać własny pomysł mieć okrutny późno odpowiedź znać:v wiedzieć opętać porażka wylać żal:v słuchać pycha zdrada splamić gniew głowa dać duch śmiać pytać pytać pytanie głowa mieć okrutny późno odpowiedź znać:v ciało zbudzić przejmujący chłód szczery pole rosa wstawać świt ciemno:d wytropić ślad stopa głos odpowiadać nikt nowy:a dzień:s1 szansa nowy:a nieść promień światły błysnąć szkło wiedzieć nagle zawrócić wóz radio śpiewać cudzy tekst pytać pytać pytać własny pomysł mieć okrutny późno odpowiedź znać:v pytać pytać pytanie głowa mieć okrutny późno odpowiedź znać:v
