id,text,author_title
0,oczach twych kolor nieba moich stron uśmiech dnia cienie liści drżą głosie echo słów sprzed szepty traw giął letni wiatr zabierz tamtych miejsc pędził czas rytm serc każdą chwil chciał oddać tę tę zabierz tamten dach pachnie chleb cisza gra każda nut brzmi dłoni mej miejsce twą małą dłoń zamknąć życie klatce rąk myślach mych miejsce wspomnień znasz często gościsz często zabierz tamtych miejsc pędził czas rytm serc każdą chwil chciał oddać tę tę zabierz tamten dach pachnie chleb cisza gra każda nut brzmi,czerwone_gitary-niebo_z_moich_stron
1,wrócą ptaki mazurskich gniazd ruszaj żeglarze płyną szlakiem gwiazd wróćmy jeziora wędrowny rejs znajdziesz cel swojej drogi wśród szumiących drzew białe żagle szmaragdowa toń przyjacielska dłoń wrócisz gitarą ogniska blask zostań noc śpi szuwarach pieśni słucha las wróćmy jeziora samotny brzeg zostań las woda masztów cichy śpiew białe żagle kryje mgła mów przygoda trwa bis wróćmy jeziora zapadnie mrok znajdziesz swoją przygodę wrócisz rok bis,czerwone_gitary-wrocmy_nad_jeziora
2,wiedzą jesteś jedną ew najmilszych medal zgadł nagle wpadł mych uczuć tajny ślad nikt świecie wie kocham ewie nikt świecie wie nikt nikt zgadnie sercu dnie sekret znam przyszło myśl chce zdemaskować skoro świt jurcio grał płyt piosenki tajny rytm la la la la la la la la la la la la la la la la la la la nikt zgadnie sercu dnie sekret znam wtór mych przyjaciół chór śpiewa głośno refren wpadł odkrył ślad tajemnicę mą wkradł nikt świecie wie kocham ewie nikt świecie wie nikt nikt zgadnie sercu dnie sekret znam nikt świecie wie kocham ewie nikt świecie wie nikt nikt zgadnie sercu dnie sekret znam,czerwone_gitary-nikt_na_swiecie_nie_wie
3,słowa słowa choćby słów codziennie nowa jutro słowa słowa wciąż brak zwykła rozmowa potrzeba rozmowy słów takich znasz sercu masz zwykłe przebacz bywaj zdrów hej mniej słowa słowa pomocna dłoń łódź ratunkowa okład skroń słowa słowa myśli prosty znak żałować potrzeba rozmowy słów takich znasz sercu masz zwykłe przebacz bywaj zdrów hej mniej,czerwone_gitary-slowa
4,bywa chmurą oceanu znikną przyjaciele często dzieje żyją twej pamięci potrzeba żyje serce niedaleko biały świt obudzi tras ludzi dawnych powracamy pamiętali posyłamy kwiaty drzew płomień kwiatów pali pali serdeczny śpiew pamiętali dziękujemy głębi dusz hej wędrowcze wołaj ciemnej dali muzyczki naszej wróż miewa przerwy życiorysie znika zaklęty bierze złe zakręty długo milczy godziny liczy marzec grudzień styczeń niedaleko nowy świt obudzi tras ludzi dawnych powracamy pamiętają posyłamy kwiaty drzew płomień kwiatów pali pali serdeczny śpiew pamiętają dziękujemy głębi dusz hej wędrowcze wołaj ciemnej dali muzyczki naszej wróż hej wędrowcze wołaj ciemnej dali muzyczki naszej wróż,czerwone_gitary-wszystkim_ktorzy_o_nas_pamietali
5,zobacz pająki tkały welon widzisz pajęczej przędzy tkany tiul staniesz rankiem błysną klejnoty rosy zobacz rozwija konwalii kwiat słuchaj dźwięk leśnych dzwonków niesie wiatr idziesz idziesz dzwonią dzwony ziemi jedyne słowo słów najwięcej znaczy słów znalazłaś uśmiech dnia uczyłaś kochać świat zobacz przejrzystej wody pełen dzban spróbuj prezencie ślubnym strumień dał wzniesiesz pierwszy toast wzniosą toast leśne echa jedyne słowo słów najwięcej znaczy słów znalazłaś uśmiech dnia uczyłaś kochać świat popatrz kobierzec igieł utkał las ślubu będziesz szła idziesz idziesz kwitną kwiaty ziemi,czerwone_gitary-slowo_jedyne_ty
6,niebo wschodzie rumieńcem chwali ptakami budzą wędrowne gitary świt puka okien śpij miary mówią dzień dobry wędrowne gitary pech dogoni chodzisz pary wnet pocieszą wędrowne gitary rób siebie życiowej ofiary zaśpiewaj grają wędrowne gitary latem wodą zaszumią szuwary usłyszysz echo wędrownej gitary brzęczy komar ptak śpiewa oddali grają wędrowne gitary noc złote iskry niebie zapali snu kołyszą wędrowne gitary przyśni sekwana paryż walca zaproszą wędrowne gitary płynie melodia poddaj fali zaufaj piosence wędrownej gitary piosenka woła czyś młody stary zaśpiewaj grają wędrowne gitary,czerwone_gitary-wedrowne_gitary
7,kogoś pokocha raz pierwszy prawdziwie myśli jednym wzajemnie szczęśliwie księżyc gwiazdy niebie kwiaty ziemi pozwalają uwierzyć tracić nadziei często nocy budzi myśl nurtuje kocha lubi szanuje chce dba żartuje bis,czerwone_gitary-gdy_ktos_kogos_pokocha
8,estradowe gwiazdy błyszczą blasku tracisz wzrok jesteś gotów dać byle grały rok morzu świateł toną twarze wiesz gra blisko twoich marzeń tyłu plecami tle tyłu gwiazdami choć estrada riviera miejsce pałkera tyłu plecami tle blasku sławy świat idola sercach kobiet czuły kąt kwiaty zimna cola wybaczą błąd pieszczą gitar gryfy bębny muszę grzać uwielbiani riffy tyłu plecami tle przyjdzie chwila wiem umilkną gitary zobaczycie gary przodu tyłu tle tyłu plecami tle przyjdzie chwila wiem umilkną gitary zobaczycie gary przodu tyłu tle umilkną gitary zobaczycie gary przodu tyłu tle,czerwone_gitary-zawsze_w_tle
9,lato jagód lipcowych smak żółte liście gna jesienią wiatr wiosną śniegi spływają gór szybach zimą kwitnie mróz lubię mroźną zimę puszysty śnieg kocham narty zima najpiękniejsza lubi zimowy zły wiatr rzeki pokrywa kra drugi woli siebie wciąż iść jesienią czerwienieje liść lubię lato wśród słonecznych plaż lubię pływać lato najpiękniejsze lubi wiosną snu budzi rzek wezbranych nurt woli lipcowych dni blask miodem pachnie las lubię cztery pory każda wiosna lato jesień zima przypomina,czerwone_gitary-cztery_pory_roku
