,Topic 0 words,Topic 0 weights,Topic 1 words,Topic 1 weights,Topic 2 words,Topic 2 weights,Topic 3 words,Topic 3 weights,Topic 4 words,Topic 4 weights,Topic 5 words,Topic 5 weights,Topic 6 words,Topic 6 weights,Topic 7 words,Topic 7 weights,Topic 8 words,Topic 8 weights,Topic 9 words,Topic 9 weights,Topic 10 words,Topic 10 weights,Topic 11 words,Topic 11 weights,Topic 12 words,Topic 12 weights,Topic 13 words,Topic 13 weights,Topic 14 words,Topic 14 weights,Topic 15 words,Topic 15 weights,Topic 16 words,Topic 16 weights,Topic 17 words,Topic 17 weights,Topic 18 words,Topic 18 weights,Topic 19 words,Topic 19 weights,Topic 20 words,Topic 20 weights,Topic 21 words,Topic 21 weights,Topic 22 words,Topic 22 weights,Topic 23 words,Topic 23 weights,Topic 24 words,Topic 24 weights,Topic 25 words,Topic 25 weights,Topic 26 words,Topic 26 weights,Topic 27 words,Topic 27 weights,Topic 28 words,Topic 28 weights,Topic 29 words,Topic 29 weights,Topic 30 words,Topic 30 weights,Topic 31 words,Topic 31 weights,Topic 32 words,Topic 32 weights,Topic 33 words,Topic 33 weights,Topic 34 words,Topic 34 weights,Topic 35 words,Topic 35 weights,Topic 36 words,Topic 36 weights,Topic 37 words,Topic 37 weights,Topic 38 words,Topic 38 weights,Topic 39 words,Topic 39 weights,Topic 40 words,Topic 40 weights,Topic 41 words,Topic 41 weights,Topic 42 words,Topic 42 weights,Topic 43 words,Topic 43 weights,Topic 44 words,Topic 44 weights,Topic 45 words,Topic 45 weights,Topic 46 words,Topic 46 weights,Topic 47 words,Topic 47 weights,Topic 48 words,Topic 48 weights,Topic 49 words,Topic 49 weights
0,lubię,122.1,dzień,368.6,wiesz,129.7,wiem,271.5,wielki,128.5,pa,99.2,year,7367.0,klucz,57.1,gdybym,73.5,–,216.6,głowi,98.3,chcę,701.8,the,536.0,the,284.4,deszcz,227.7,gaz,177.0,mówię,89.9,wojni,62.3,tańcz,79.5,świat,37.9,powiedz,311.8,da,122.1,kochaj,169.7,well,77.0,świat,181.6,syna,91.0,miłość,123.8,wie,316.2,hej,341.1,dam,176.2,jesteś,498.2,idę,101.0,widzę,50.3,mieć,152.2,trudno,55.8,oczi,133.2,dzień,157.3,uwierz,46.5,le,107.0,ludzi,132.8,wciąż,79.3,la,1466.9,x,108.5,bój,77.4,wiem,378.8,gra,174.6,chce,197.6,zapamiętaj,62.6,raz,906.3,daj,538.2
1,in,59.2,wielka,93.4,chcesz,86.8,świat,199.9,wyżej,97.0,trochę,79.5,piosenka,98.0,ludzi,46.6,zrobić,38.4,cza,199.7,wciąż,72.7,gło,91.8,you,516.6,you,278.0,ha,136.1,świat,51.5,zabierz,61.9,świat,60.0,byłaś,76.8,potem,36.4,hej,127.0,dzień,54.0,bądź,138.1,m,70.2,cza,178.1,cuda,70.4,wiatr,103.3,chcesz,46.9,und,238.0,dziej,124.3,człowiek,58.6,kocham,80.7,wiem,47.9,dzień,112.6,brak,48.2,wiem,117.0,świat,146.4,niejeden,44.8,de,88.9,życia,54.1,koni,76.8,stąd,63.0,krew,100.2,cza,73.2,chciałbym,192.7,dać,102.4,spać,131.5,serc,42.0,cza,160.0,rok,159.1
2,nikogo,48.9,noc,91.7,noc,80.3,sen,87.5,przyjdź,39.4,nikt,72.6,milosc,91.5,stu,40.3,x,36.9,kraj,68.6,dzień,68.8,blisko,82.3,and,473.1,your,188.9,pada,110.9,grzech,47.8,masz,58.0,miłości,53.5,świat,75.1,tyś,33.8,kochać,115.4,zna,52.2,świat,47.1,as,67.7,…,151.6,słów,53.0,cza,62.5,snów,43.2,du,142.9,dziewczyna,58.4,ciągl,56.5,dni,44.6,tyle,36.8,noc,97.1,strach,44.0,wiesz,90.4,dni,101.0,miss,28.0,l,52.3,sto,51.1,wolność,72.6,mami,45.8,zielon,69.4,noc,73.1,bóg,127.7,mogę,79.0,widziałem,63.0,ziemi,40.7,pierwszi,106.4,dom,72.2
3,oh,47.7,sen,78.4,bum,75.0,ludzi,54.9,choć,30.0,chodź,68.3,cza,85.1,czarni,38.3,y,36.9,muszę,62.5,pytaj,54.2,lew,77.0,it,313.2,of,127.2,świat,40.6,crazi,31.9,pali,51.0,wróć,52.0,serca,54.0,stać,32.7,rock,78.5,obłok,48.3,betlejem,38.2,home,57.1,życi,129.0,wstyd,49.5,woła,59.2,nikt,42.1,da,121.8,x,35.3,nikt,48.8,patrzę,37.9,lęk,35.5,chcesz,86.4,życi,40.4,lato,83.5,gwiazd,83.6,flag,27.0,si,52.0,biorą,45.9,kocham,64.3,x,32.1,pytam,66.9,żyję,69.3,całe,114.4,dnia,59.2,grać,39.5,oprócz,39.5,choć,87.8,boże,64.1
4,taci,44.9,radość,67.5,x,55.3,dalej,53.3,księżyc,24.5,ho,52.2,raz,61.4,kochasz,33.3,mógł,31.9,miłość,52.6,świat,50.2,powiedzieć,72.2,s,265.8,me,107.7,miłi,29.8,gra,31.2,patrz,45.4,życi,47.8,wiatr,46.2,śnie,31.6,świat,69.8,miasta,40.2,bóg,36.7,me,56.6,byle,106.1,uśmiech,45.4,wciąż,57.0,życi,39.3,nicht,121.0,jakieś,30.4,serc,43.3,serc,37.0,wiatr,34.0,wiem,80.7,masz,35.5,sen,67.0,wiatr,80.4,odejdę,25.2,d,48.4,rząd,35.0,życi,56.7,choć,26.8,czeka,66.1,spokojni,46.3,kocha,89.5,póki,57.9,nikt,38.8,gra,33.4,wiem,70.9,pani,51.9
5,’,33.0,cza,64.1,hej,48.6,żyć,52.9,masz,23.0,pójdę,49.0,noc,60.5,armia,32.0,ej,31.8,noci,45.8,noc,47.7,czego,65.1,love,226.4,can,87.8,nowi,25.4,pięć,26.8,zrób,40.9,mego,45.6,cza,41.5,dał,30.2,roll,55.3,dniem,35.5,chcesz,35.8,let,49.3,chcemi,55.0,noc,37.7,kiedyś,54.5,mami,37.7,der,103.0,słuchaj,29.7,chcesz,38.8,świeci,31.2,miłości,31.5,prawo,67.9,nogi,35.0,chcesz,64.2,cza,77.4,śmiej,24.7,est,44.5,cza,34.4,świat,55.8,tyle,24.4,chodzę,53.1,idę,41.9,dnie,78.9,ni,55.3,dalej,38.3,milion,30.4,lo,63.7,noc,43.3
6,is,31.5,coraz,58.0,kocham,44.5,cza,51.4,ciało,20.5,wciąż,36.2,zyci,55.0,czarn,30.9,mówią,29.0,proszę,45.2,tyle,47.6,mów,61.5,t,224.9,day,86.4,kwiat,25.3,twarz,26.5,życi,40.4,wciąż,41.5,wolno,39.9,spać,28.9,kręci,44.4,rytm,32.2,pewno,31.3,you,41.4,tango,55.0,rodzi,37.0,oczach,53.6,takim,36.2,so,102.1,byś,28.4,patrz,33.9,godzini,29.6,łzi,30.1,wiesz,63.3,choć,28.8,choć,58.1,noc,73.9,serc,23.5,widzisz,41.3,dom,32.3,wiem,54.2,razi,24.0,tą,42.8,snu,41.8,słowo,50.6,radio,53.3,walc,37.5,jesteśmi,29.0,ostatni,49.6,będziesz,40.4
7,and,29.9,świat,57.7,oj,42.5,dni,43.8,gorzej,19.6,mami,32.6,swiat,50.0,nieba,25.5,super,28.9,chcieć,41.5,noci,39.2,twoich,57.9,all,220.9,are,82.6,myślę,24.6,ulicach,24.9,siebi,38.1,mieć,40.3,strach,32.2,chcą,28.0,chciał,40.7,sami,32.1,choć,29.2,come,39.0,tyle,48.3,będziesz,29.5,noc,49.0,moich,34.4,die,94.5,ciągl,27.7,kochać,33.2,oczi,27.8,słów,30.1,piękn,59.0,pozwól,27.8,masz,47.4,żyć,70.9,podróżi,22.9,j,40.0,naj,31.0,ko,53.0,dni,22.8,zdrada,38.9,pokoju,41.7,noce,49.0,swoją,52.8,umiem,34.8,chwała,28.7,masz,44.1,miał,38.0
8,drogą,29.8,ostatni,51.9,wracam,34.5,lo,40.5,trzi,19.2,niewiel,29.7,ballada,48.0,czarno,25.3,jamal,26.1,stało,40.6,będziesz,38.1,słów,55.4,is,219.8,have,74.0,nieba,24.6,mniej,24.1,weź,37.3,żyje,36.8,życi,25.7,małi,25.7,and,39.4,wojska,30.0,x,28.4,yeah,37.4,miłość,44.7,hop,29.3,siebi,47.7,pierwszi,34.3,ein,85.9,leci,25.8,kim,32.0,kochani,25.5,pragnę,29.5,wciąż,51.1,pół,27.4,świat,44.5,blask,56.9,stąd,20.8,pa,39.2,system,29.8,miał,50.7,serc,22.3,wino,34.2,sni,36.5,mogę,48.2,bierz,50.0,daje,34.0,koniec,25.4,swój,43.9,nowi,36.0
9,play,29.3,cień,48.3,czuję,34.1,człowiek,40.0,krzyk,18.1,głowi,29.6,jest,46.0,deszczem,24.9,szansę,24.7,skończi,35.4,miłość,37.3,serc,43.7,in,208.2,and,67.5,padał,23.0,mieć,23.4,niebi,34.0,twojej,35.6,nadzieją,24.9,dziki,23.3,wreszci,36.4,serca,29.2,mieści,26.8,give,31.1,żyć,43.4,dzień,24.9,śpiewa,46.6,siebi,34.2,es,82.5,tańczę,24.8,mówisz,31.0,noci,25.4,zostało,29.0,oooo,44.7,świat,26.4,dni,44.1,śpiew,56.9,samotność,20.0,pani,32.0,własni,29.6,żyć,43.4,dawno,21.5,wciąż,31.9,twarz,35.9,żal,42.0,siebi,45.4,ludzi,27.9,orkiestra,25.2,chyba,41.5,znak,22.7
