,Topic 0 words,Topic 0 weights,Topic 1 words,Topic 1 weights,Topic 2 words,Topic 2 weights,Topic 3 words,Topic 3 weights,Topic 4 words,Topic 4 weights,Topic 5 words,Topic 5 weights,Topic 6 words,Topic 6 weights,Topic 7 words,Topic 7 weights,Topic 8 words,Topic 8 weights,Topic 9 words,Topic 9 weights,Topic 10 words,Topic 10 weights,Topic 11 words,Topic 11 weights,Topic 12 words,Topic 12 weights,Topic 13 words,Topic 13 weights,Topic 14 words,Topic 14 weights,Topic 15 words,Topic 15 weights,Topic 16 words,Topic 16 weights,Topic 17 words,Topic 17 weights,Topic 18 words,Topic 18 weights,Topic 19 words,Topic 19 weights,Topic 20 words,Topic 20 weights,Topic 21 words,Topic 21 weights,Topic 22 words,Topic 22 weights,Topic 23 words,Topic 23 weights,Topic 24 words,Topic 24 weights,Topic 25 words,Topic 25 weights,Topic 26 words,Topic 26 weights,Topic 27 words,Topic 27 weights,Topic 28 words,Topic 28 weights,Topic 29 words,Topic 29 weights,Topic 30 words,Topic 30 weights,Topic 31 words,Topic 31 weights,Topic 32 words,Topic 32 weights,Topic 33 words,Topic 33 weights,Topic 34 words,Topic 34 weights,Topic 35 words,Topic 35 weights,Topic 36 words,Topic 36 weights,Topic 37 words,Topic 37 weights,Topic 38 words,Topic 38 weights,Topic 39 words,Topic 39 weights,Topic 40 words,Topic 40 weights,Topic 41 words,Topic 41 weights,Topic 42 words,Topic 42 weights,Topic 43 words,Topic 43 weights,Topic 44 words,Topic 44 weights,Topic 45 words,Topic 45 weights,Topic 46 words,Topic 46 weights,Topic 47 words,Topic 47 weights,Topic 48 words,Topic 48 weights,Topic 49 words,Topic 49 weights
0,chodź,79.7,year,7360.0,da,120.6,chcesz,166.2,życiu,86.6,oooo,62.0,daj,273.1,dzień,63.0,masz,71.6,panie,70.7,dzień,110.9,chcesz,129.4,czas,134.8,raz,704.2,bój,85.3,sen,175.9,czas,101.9,wielka,78.2,la,1336.8,spać,101.0,daj,152.2,hej,572.4,całe,98.0,czas,121.1,miłość,266.2,chcę,531.4,słowa,124.9,wolno,70.2,żyj,55.0,ludzie,236.2,the,847.7,de,69.0,kocham,348.9,rok,170.2,und,238.0,noc,111.5,świat,114.0,kochać,156.0,bóg,99.1,noc,222.7,x,69.1,dalej,157.2,wiem,643.8,świat,325.4,byle,143.2,–,249.9,ha,135.0,mieć,200.9,tacy,89.2,radio,81.4
1,żyje,65.6,piosenka,98.0,jesteśmy,69.8,chcę,151.4,świat,75.7,x,56.9,boże,63.4,wiem,53.0,kochanie,54.4,widzisz,60.1,dziewczyna,64.1,wiesz,115.1,wiesz,97.8,pierwszy,91.7,niebie,71.6,moich,66.2,wolność,74.2,póki,55.1,well,50.6,chce,98.5,dzień,96.5,dam,165.5,syna,83.7,siebie,72.4,powiedz,77.7,lubię,149.3,gdybym,58.6,świecie,64.8,święta,45.2,idę,86.3,you,837.0,le,67.8,chciałbym,188.6,chcemy,97.2,du,150.1,dzień,101.4,wiatr,104.8,kochaj,143.3,musisz,69.3,wie,213.2,życie,61.2,coraz,103.4,gaz,178.0,czas,186.1,ciągle,73.3,…,142.8,ho,60.5,muszę,132.6,bije,64.0,dni,30.5
2,dzień,61.3,milosc,89.0,bal,69.7,będziesz,141.5,żyć,67.6,łatwo,52.4,świat,63.2,las,52.7,stu,49.3,mamy,58.1,błąd,54.6,życie,89.9,czym,77.5,życie,91.3,nieba,51.0,tyle,59.4,raz,64.1,da,54.9,as,47.2,grać,48.8,lato,76.0,wstyd,52.2,gra,75.2,ziemi,62.9,świat,40.6,mogę,124.6,mów,39.7,kraj,62.3,strzał,42.7,pali,48.8,and,609.7,dom,59.3,wróć,69.8,wciąż,74.0,nicht,107.0,wyżej,78.3,słów,102.0,świat,109.6,zapamiętaj,68.0,gwiazd,73.6,panie,59.4,droga,33.5,górę,107.8,jesteś,161.4,wiesz,43.5,zabierz,54.5,wciąż,54.0,dzień,71.4,zrobić,62.1,bóg,30.0
3,patrz,55.2,czas,75.6,wciąż,69.4,jesteś,137.8,zielone,65.8,precz,46.6,obłok,46.0,potem,52.2,tyle,48.3,czas,41.0,los,53.2,dom,59.5,masz,46.2,dzień,86.9,człowiek,48.6,choć,57.4,wciąż,63.2,czas,49.1,bądź,35.8,świat,47.6,siebie,50.3,miłości,50.5,świat,69.6,pa,61.9,wciąż,39.7,wiem,101.0,słów,39.2,cóż,55.6,świat,35.4,ej,46.7,in,370.5,l,57.0,razem,53.8,świat,69.2,der,103.0,prawo,59.6,twoich,90.8,miłość,106.7,wie,63.9,śpiew,47.0,nikt,52.6,długie,30.8,oczy,79.9,wiatr,114.0,zna,42.4,mówisz,36.0,dzieje,49.2,możesz,59.3,śmiej,45.2,super,30.0
4,idą,51.8,noc,59.7,strach,60.7,wiem,63.0,sny,48.2,wszędzie,45.8,chwilę,45.1,spokojnie,49.0,czas,45.8,diabeł,38.7,kiedyś,50.2,drzwi,52.6,gadać,36.0,czas,61.0,płacz,47.7,niewiele,55.6,wiatr,61.7,radość,44.1,czas,20.9,pogoda,42.8,tamtych,45.5,noc,50.1,kocha,69.1,krew,53.4,zabawa,32.9,x,68.9,noc,32.8,mama,39.3,śnieg,32.5,biorą,44.9,it,338.9,d,52.8,tańcz,44.7,mamy,50.0,so,97.1,я,57.0,ust,80.7,wiem,92.0,si,51.8,dzień,45.6,śpij,44.2,ciągle,30.5,raz,75.6,nikt,104.8,widzę,42.0,chcieć,30.0,ni,46.7,imię,49.5,deszcz,44.6,se,28.7
5,chyba,40.2,raz,56.8,bądź,50.1,lepiej,57.1,byłby,35.0,zero,45.2,czarne,39.5,deszcz,39.8,świat,40.1,anioł,37.1,drugi,43.7,złość,50.0,chcesz,35.9,dni,53.5,oprócz,39.2,jesteś,52.2,noc,60.4,zrób,42.2,give,19.3,rękę,31.6,nowy,42.3,powiedz,47.3,taniec,67.0,byłaś,47.7,oj,28.8,nikogo,66.5,dzień,29.6,przyjdź,30.6,swoją,31.3,pokoju,37.8,s,318.6,pas,46.4,świat,44.0,tyle,45.0,die,94.8,не,52.0,dni,79.0,noc,64.5,będziemy,30.0,świat,36.6,jesteś,39.2,słońce,27.5,tango,66.1,życie,92.9,słowo,39.0,razem,25.3,mały,37.7,powiedz,43.1,byłem,44.5,mehr,27.0
6,mamy,39.2,zycie,52.9,mówią,49.8,czego,48.2,oczy,33.0,deszcz,39.6,czarny,36.2,śni,33.4,right,39.0,naj,34.8,trochę,41.4,oczy,45.7,dzieci,35.5,los,44.9,nikt,37.2,głos,44.1,dzień,51.6,zanim,40.4,x,18.8,podaj,31.0,serce,42.2,betlejem,42.9,bóg,66.5,rytm,43.3,serce,28.1,chodzę,64.7,raz,28.6,raj,29.4,czas,31.1,szukając,34.4,me,311.2,est,40.2,żyć,37.7,czas,42.8,das,86.0,и,47.0,twych,73.4,raz,61.9,warto,28.1,rytm,36.4,pójdę,35.9,takim,27.3,nikt,46.0,dni,83.6,da,34.2,jutro,24.7,stąd,34.1,miał,40.6,gdybyś,40.2,would,26.7
7,mówisz,30.3,swiat,49.6,siebie,43.2,zostań,40.1,śnić,32.4,miłości,32.5,podaruj,33.0,skończy,31.1,póki,35.4,raj,30.0,dniem,40.3,słów,44.1,widać,35.0,świat,44.8,dole,34.6,łez,39.7,żyć,48.5,łza,36.5,looking,18.0,nikt,28.3,czas,42.1,śmierć,41.8,dnie,54.2,widziałem,40.1,wino,27.6,mówię,55.9,choć,26.3,daj,27.2,dni,29.2,rząd,34.0,is,304.2,j,38.0,nikt,35.3,grzech,39.8,es,82.5,maj,43.5,serca,55.4,wiesz,53.4,dzień,26.6,gra,33.9,gram,29.6,chcesz,25.9,imię,43.0,pytaj,74.1,wie,33.9,jesteś,22.2,pytam,33.0,stało,39.4,mówię,35.1,głód,23.1
8,siebie,26.1,ballada,48.0,dzień,40.0,tyle,37.8,wracaj,31.0,czas,30.4,dzień,32.5,wind,30.6,późno,24.2,mogę,29.1,pierwszy,35.7,trwa,44.1,bić,30.8,niejeden,41.5,żyję,32.2,kochasz,37.2,powiedz,48.3,znak,36.4,góry,17.9,tyś,27.8,szczęście,35.8,cuda,35.6,miłość,49.5,pot,37.9,zapach,26.7,powiedzieć,53.0,mógł,24.8,swój,26.8,dzień,25.3,deszcz,30.2,t,267.3,c,34.0,pragnę,33.1,baby,36.7,wir,67.9,wielkie,37.2,blask,50.5,czekam,47.9,śnie,26.0,rok,31.6,wiem,26.7,kamień,25.7,polska,41.4,żal,72.7,dom,32.5,zasnę,22.0,tańcz,32.0,nikt,38.9,wiedzieć,35.1,chciał,18.3
9,oknem,25.7,jestes,44.6,x,35.8,miał,34.2,miss,27.9,słońce,27.9,dzielą,25.0,źle,30.2,zimny,21.8,choć,29.1,miał,34.8,chcę,39.0,gra,29.8,widzę,41.1,miłość,32.0,boli,36.3,miłość,47.4,masz,35.6,śpiewa,16.2,swoją,27.7,kogoś,32.7,twojej,30.3,życie,48.5,bum,35.5,słowa,25.5,blisko,52.1,głos,22.1,wśród,25.5,wesoły,25.0,powiedz,29.6,of,255.1,m,33.9,krzyk,31.7,nadzieją,26.5,wie,67.7,в,36.0,miała,48.7,choć,47.3,dawniej,25.4,choć,31.0,koni,26.4,masz,25.6,ulicach,36.5,dzień,67.3,proszę,31.8,robisz,21.6,świat,27.5,nocy,36.0,dzwon,34.4,miłością,16.5
