,Topic 0 words,Topic 0 weights,Topic 1 words,Topic 1 weights,Topic 2 words,Topic 2 weights,Topic 3 words,Topic 3 weights,Topic 4 words,Topic 4 weights,Topic 5 words,Topic 5 weights,Topic 6 words,Topic 6 weights,Topic 7 words,Topic 7 weights,Topic 8 words,Topic 8 weights,Topic 9 words,Topic 9 weights,Topic 10 words,Topic 10 weights,Topic 11 words,Topic 11 weights,Topic 12 words,Topic 12 weights,Topic 13 words,Topic 13 weights,Topic 14 words,Topic 14 weights,Topic 15 words,Topic 15 weights,Topic 16 words,Topic 16 weights,Topic 17 words,Topic 17 weights,Topic 18 words,Topic 18 weights,Topic 19 words,Topic 19 weights,Topic 20 words,Topic 20 weights,Topic 21 words,Topic 21 weights,Topic 22 words,Topic 22 weights,Topic 23 words,Topic 23 weights,Topic 24 words,Topic 24 weights,Topic 25 words,Topic 25 weights,Topic 26 words,Topic 26 weights,Topic 27 words,Topic 27 weights,Topic 28 words,Topic 28 weights,Topic 29 words,Topic 29 weights,Topic 30 words,Topic 30 weights,Topic 31 words,Topic 31 weights,Topic 32 words,Topic 32 weights,Topic 33 words,Topic 33 weights,Topic 34 words,Topic 34 weights,Topic 35 words,Topic 35 weights,Topic 36 words,Topic 36 weights,Topic 37 words,Topic 37 weights,Topic 38 words,Topic 38 weights,Topic 39 words,Topic 39 weights,Topic 40 words,Topic 40 weights,Topic 41 words,Topic 41 weights,Topic 42 words,Topic 42 weights,Topic 43 words,Topic 43 weights,Topic 44 words,Topic 44 weights,Topic 45 words,Topic 45 weights,Topic 46 words,Topic 46 weights,Topic 47 words,Topic 47 weights,Topic 48 words,Topic 48 weights,Topic 49 words,Topic 49 weights
0,taki,266.3,tańczyć,301.7,czas,172.0,gaz,190.8,raz,370.7,noc,210.3,chcieć,1388.3,dzień,419.4,dzień,566.4,dziewczyna,261.0,dać,1184.3,zasnąć,79.4,kraj,135.4,tyli,144.0,człowiek,156.1,święty,200.7,miłość,412.3,czarny,168.5,hej,174.4,de,69.0,lewy,120.1,chodzić,281.5,undy,238.0,rok,197.6,bóg,312.1,byle,147.9,the,854.0,dziecko,114.7,wiedzieć,1208.2,czy,79.8,deszcz,263.1,życie,224.3,śnieg,106.3,mowa,155.4,żyć,388.9,nikt,272.8,życie,388.2,kochać,1127.8,świat,116.4,góra,107.0,la,1337.0,–,249.7,mówić,419.9,hej,333.0,piosenka,186.7,mieć,302.2,być,959.3,pani,142.5,słowo,493.4,dzień,332.5
1,sam,258.5,dom,144.9,kolorowy,77.9,świecić,55.0,czekać,144.1,śpiewać,123.8,życie,601.9,wiatr,334.9,sen,250.7,polski,205.3,я,57.0,samotny,73.6,świat,116.6,szczęście,95.1,mówić,84.2,król,171.3,twój,210.5,noc,112.1,maria,125.6,le,65.9,prawy,71.1,lubić,209.1,du,144.7,nowy,78.4,dom,118.1,nikt,84.5,you,837.0,lato,57.6,spać,337.6,kochanie,79.3,pierwszy,195.5,dać,173.5,ha,92.7,serce,135.0,robić,88.8,stać,249.8,śmierć,109.9,powiedzieć,513.8,dany,102.4,noc,95.2,dzień,30.2,wojna,84.1,pytać,305.6,chcieć,219.9,póki,120.6,świat,282.1,mieć,133.1,widzieć,100.9,zabrać,129.9,czas,81.5
2,wysoce,94.4,wracać,116.1,spokojnie,57.1,ulica,43.1,czas,82.2,księżyc,82.6,wiedzieć,563.1,noc,262.8,noc,146.8,sto,62.5,x,56.7,dać,52.6,chcieć,111.6,piękny,86.8,x,54.9,cud,122.7,czekać,156.5,dzień,104.6,syn,120.2,d,61.0,strona,65.0,nikt,81.6,nicht,107.0,koń,77.5,cały,90.8,film,81.0,anda,575.2,koniec,45.4,czuć,204.8,mówić,62.5,padać,172.2,mieć,151.9,spaść,56.3,gra,89.5,dzień,71.9,stąd,166.1,piękny,91.1,chcieć,223.2,szansa,93.5,tango,83.5,żaba,26.9,móc,76.2,błąd,89.8,pieniądz,81.0,twarz,66.1,wolność,121.0,dziać,131.1,pójść,94.8,mój,120.6,krew,77.3
3,chcieć,69.6,bal,105.5,raz,53.4,zrób,29.7,mieć,75.8,dać,74.4,czas,325.4,łza,260.3,każdy,136.1,milosc,59.5,не,52.0,chcieć,50.7,musza,79.8,dobrze,82.4,każdy,54.4,śpiewać,66.9,bać,145.2,prawo,55.6,rock,107.1,pas,57.9,swój,56.1,las,76.7,dera,103.0,chcieć,75.5,czas,90.3,królowy,67.0,ita,337.0,lecieć,44.0,kiedy,110.2,gadać,53.9,wiedzieć,118.6,dzień,147.6,chcieć,55.5,mieć,80.0,hej,64.9,odejść,122.5,chwila,68.1,miłość,184.4,wielki,85.8,trzy,81.8,flaga,26.3,„,64.8,chcieć,74.4,x,69.2,noc,64.3,zbudować,71.0,co,125.1,iść,78.4,wiedzieć,87.5,zły,76.8
4,zostać,66.6,mały,94.5,wóz,53.3,niebo,26.5,dzień,67.4,gwiazda,71.3,móc,323.7,serce,258.8,budzić,126.2,kochać,55.9,goły,49.9,miejsce,43.1,mieć,65.7,ręka,70.7,noc,45.3,świat,56.6,usta,91.5,złodziej,52.4,rudy,97.7,litr,50.8,ręka,52.4,dolina,69.5,die,102.0,dzień,70.6,noc,85.2,gitara,54.1,sekunda,327.4,pójść,43.2,chcieć,73.3,iść,53.8,raz,91.2,trwać,113.4,mróz,38.3,dobry,55.3,czerwony,52.1,uciekać,96.1,bum,66.2,twój,176.9,życie,73.7,świat,80.6,kieł,19.0,gdyby,63.2,wiedzieć,68.6,mama,67.4,wielki,63.2,widzieć,69.5,grać,117.7,zapamiętać,75.7,serce,85.1,swój,65.2
5,znać,64.9,stary,79.4,zmieniać,43.2,płatka,25.0,móc,57.5,pić,65.6,mieć,287.2,czas,243.6,okno,121.1,zakochany,34.3,и,47.0,oh,36.3,móc,62.3,głowa,67.2,wstyd,44.3,witać,49.1,słowo,86.7,ni,48.8,roll,79.9,ewangelia_świętego_jana,42.0,well,47.8,własny,55.0,księga_sofoniasza,98.6,niewiele,65.2,dobry,82.3,mój,52.7,in,321.6,przyjść,41.1,widzieć,62.9,świat,50.8,dzień,86.2,grać,107.0,spać,36.4,chcieć,49.9,ten,49.5,chybać,72.0,strzelać,54.4,sen,117.2,każdy,71.6,krew,71.6,x,16.3,grzech,61.8,cóż,58.1,myśleć,57.5,brać,52.1,raz,69.5,anioł,100.1,swój,62.5,chwila,74.5,ciszyć,57.9
6,wiedzieć,63.1,taniec,49.1,droga,40.1,wenn,22.0,wiek,55.2,piosenka,46.2,świat,259.5,świat,233.0,twój,109.9,czas,32.4,mężczyzna,44.6,głupi,33.4,zero,49.9,patrzeć,65.3,mecz,42.6,mały,48.4,bój,78.9,chwała,48.7,kolęda,76.8,strzał,41.9,ulica,45.1,drogi,52.2,das,86.0,cztery,64.7,blues,58.7,zdrada,52.0,is,311.8,raj,40.8,dzielić,57.7,wiedzieć,50.0,bądź,79.0,tamten,96.0,świat,31.0,znać,47.4,wejść,44.0,wiedzieć,52.8,ojciec,40.1,mój,85.8,czas,53.6,rytm,70.8,czas,14.0,chcieć,58.3,pali,47.5,id,52.8,czas,46.4,piękny,64.8,taniec,94.3,głowa,61.8,sen,68.1,chwila,57.9
7,morze,61.6,droga,44.8,udawać,36.7,świat,21.9,wiedzieć,53.9,chcieć,46.1,serce,229.0,słońce,195.3,uśmiech,106.4,por,32.4,в,36.0,chwila,29.5,wolny,39.7,iść,57.5,niebo,42.1,niebo,47.8,znak,76.2,betlejem,47.6,radio,55.4,eta,40.2,as,44.0,woda,41.8,es,83.0,żal,64.2,sen,57.9,wiedzieć,50.6,mój,308.8,miesić,37.9,jakby,55.7,wrócić,47.2,noc,74.4,raz,94.1,jazz,30.3,cicho,43.9,drugi,43.2,świat,52.4,imię,39.8,snąć,83.6,śmieć,46.7,serce,68.5,iść,13.4,wracać,51.7,iść,43.0,słowo,50.2,mój,32.4,twój,60.3,świat,89.7,pa,59.4,pusty,65.2,czarny,57.5
8,mieć,60.6,niebo,44.1,minuta,35.2,meine,21.0,obłok,49.6,człowiek,42.6,być,203.8,cień,164.5,chcieć,105.5,deszcz,32.0,nowy,33.0,tyli,29.4,most,37.9,prosty,50.0,głowa,39.0,panna,38.1,mój,68.0,podarować,37.8,anda,48.1,si,39.7,być,38.3,x,34.5,wir,71.6,noc,63.7,dziecko,56.6,dzień,49.9,tona,258.7,klucz,36.0,ki,55.7,kochany,42.5,siebie,72.3,swój,91.0,wołać,30.1,bicie,43.8,ręka,41.2,zrobić,52.1,coraz,35.4,pragnąć,64.1,sto,46.7,miasto,55.8,si,11.5,dziki,49.7,wczoraj,41.9,swój,47.8,walc,30.4,życie,58.8,mówić,60.0,szukać,52.2,łza,63.9,oczyć,56.8
9,ciągle,59.6,lew,37.1,wielki,34.5,biały,19.8,coraz,42.4,mój,39.9,wciąż,201.9,sen,159.9,wciąż,92.2,maria,30.4,kupa,20.7,człowiek,27.7,miejsce,35.9,świat,47.7,żegnać,35.4,rodzić,37.8,pamiętać,62.3,konik,36.5,swój,29.8,księga_estery,39.0,but,37.9,serce,33.2,ein,68.0,sprawa,48.3,miasto,47.5,sen,46.2,of,256.0,dom,32.6,kto,52.3,demon,41.9,czekać,53.1,wiedzieć,83.2,dzień,24.7,pieśń,40.2,zabić,34.9,głuchy,51.9,wiatr,34.0,swój,62.0,dobry,44.6,życie,52.3,zabawa,9.6,mieć,47.8,wierzyć,40.0,ha,43.8,lud,28.3,swój,57.2,nosić,59.2,raz,51.4,tyli,63.8,zło,54.8
