,Topic 0 words,Topic 0 weights,author_title
0,muza,7.0,maryla_rodowicz-nawet_i_nie_tuzy
1,tuzs2,5.0,maryla_rodowicz-nawet_i_nie_tuzy
2,zbraknąć,3.0,maryla_rodowicz-nawet_i_nie_tuzy
3,zaszumieć,3.0,maryla_rodowicz-nawet_i_nie_tuzy
4,but,9.0,maryla_rodowicz-za_duze_buty
5,duży,9.0,maryla_rodowicz-za_duze_buty
6,mieć,8.0,maryla_rodowicz-za_duze_buty
7,małya,7.0,maryla_rodowicz-za_duze_buty
8,zejść,10.0,maryla_rodowicz-idzie_noc
9,tużd,7.0,maryla_rodowicz-idzie_noc
10,bóg,7.0,maryla_rodowicz-idzie_noc
11,spocząć,6.0,maryla_rodowicz-idzie_noc
12,zasnąć,20.0,maryla_rodowicz-takiego_meza_mi_dajcie
13,mążs,8.0,maryla_rodowicz-takiego_meza_mi_dajcie
14,takia,8.0,maryla_rodowicz-takiego_meza_mi_dajcie
15,dać,7.0,maryla_rodowicz-takiego_meza_mi_dajcie
16,klips,21.0,maryla_rodowicz-klipsy
17,klipsik,5.0,maryla_rodowicz-klipsy
18,byq,4.0,maryla_rodowicz-klipsy
19,kolorowya,4.0,maryla_rodowicz-klipsy
20,życie,5.0,"maryla_rodowicz-zyj,_moj_swiecie"
21,mieć,4.0,"maryla_rodowicz-zyj,_moj_swiecie"
22,niebo,4.0,"maryla_rodowicz-zyj,_moj_swiecie"
23,garść,3.0,"maryla_rodowicz-zyj,_moj_swiecie"
24,zapomnieć,11.0,maryla_rodowicz-gdzie_sa_te_laki
25,powrócić,11.0,maryla_rodowicz-gdzie_sa_te_laki
26,woda,9.0,maryla_rodowicz-gdzie_sa_te_laki
27,białya,7.0,maryla_rodowicz-gdzie_sa_te_laki
28,tipu,13.0,maryla_rodowicz-nie_ma_jak_pompa
29,dać,10.0,maryla_rodowicz-nie_ma_jak_pompa
30,pompa,10.0,maryla_rodowicz-nie_ma_jak_pompa
31,bums,7.0,maryla_rodowicz-nie_ma_jak_pompa
32,morze,15.0,maryla_rodowicz-gdzie_to_siodme_morze
33,stąd,8.0,maryla_rodowicz-gdzie_to_siodme_morze
34,biec,7.0,maryla_rodowicz-gdzie_to_siodme_morze
35,ląd,5.0,maryla_rodowicz-gdzie_to_siodme_morze
36,sen,12.0,maryla_rodowicz-nie_budz_sie
37,budzić,11.0,maryla_rodowicz-nie_budz_sie
38,prosić,10.0,maryla_rodowicz-nie_budz_sie
39,śnić,8.0,maryla_rodowicz-nie_budz_sie
40,twója,5.0,maryla_rodowicz-nie_oczekuje_dzis_nikogo
41,dzień,5.0,maryla_rodowicz-nie_oczekuje_dzis_nikogo
42,móc,5.0,maryla_rodowicz-nie_oczekuje_dzis_nikogo
43,oczekiwać,5.0,maryla_rodowicz-nie_oczekuje_dzis_nikogo
44,pierwszya,5.0,maryla_rodowicz-pierwszy_siwy_wlos
45,twója,5.0,maryla_rodowicz-pierwszy_siwy_wlos
46,babi,4.0,maryla_rodowicz-pierwszy_siwy_wlos
47,włos,4.0,maryla_rodowicz-pierwszy_siwy_wlos
48,możliwie,17.0,maryla_rodowicz-w_pustyni_i_w_puszczy
49,znosić,10.0,maryla_rodowicz-w_pustyni_i_w_puszczy
50,uczciwie,9.0,maryla_rodowicz-w_pustyni_i_w_puszczy
51,spokojnie,9.0,maryla_rodowicz-w_pustyni_i_w_puszczy
52,dom,22.0,maryla_rodowicz-dom_na_jednej_nodze
53,ląd,9.0,maryla_rodowicz-dom_na_jednej_nodze
54,sen,8.0,maryla_rodowicz-dom_na_jednej_nodze
55,skarb,6.0,maryla_rodowicz-dom_na_jednej_nodze
